domain,seed,stratifier,entity_code,entity_name,k_star,stratifier_value
energy,3,rule_of_law_train,IRQ,Iraq,5.192460536956787,-1.6250968230769185
energy,3,rule_of_law_train,VEN,Venezuela,5.19230318069458,-1.3587809307692278
energy,3,rule_of_law_train,TKM,Turkmenistan,5.192440986633301,-1.3475450846153838
energy,3,rule_of_law_train,UZB,Uzbekistan,5.192460536956787,-1.243216638461534
energy,3,rule_of_law_train,IRN,Iran,5.192383766174316,-1.0125392153846138
energy,3,rule_of_law_train,BGD,Bangladesh,5.192339420318604,-0.9496712461538451
energy,3,rule_of_law_train,KAZ,Kazakhstan,5.1922287940979,-0.9399072384615367
energy,3,rule_of_law_train,BLR,Belarus,5.192460060119629,-0.9178033538461535
energy,3,rule_of_law_train,RUS,Russia,5.191977500915527,-0.9135154538461533
energy,3,rule_of_law_train,PAK,Pakistan,5.192099094390869,-0.8962752538461529
energy,3,rule_of_law_train,ECU,Ecuador,5.192287445068359,-0.8521969846153836
energy,3,rule_of_law_train,AZE,Azerbaijan,5.192359447479248,-0.8484823615384605
energy,3,rule_of_law_train,UKR,Ukraine,5.192302703857422,-0.8174106153846152
energy,3,rule_of_law_train,DZA,Algeria,5.192238807678223,-0.8141743923076921
energy,3,rule_of_law_train,IDN,Indonesia,5.191620826721191,-0.7183727307692304
energy,3,rule_of_law_train,CHN,China,5.191191673278809,-0.6824532384615384
energy,3,rule_of_law_train,VNM,Vietnam,5.192045211791992,-0.6398719538461535
energy,3,rule_of_law_train,COL,Colombia,5.190447807312012,-0.6148672384615381
energy,3,rule_of_law_train,PER,Peru,5.190501689910889,-0.538061646153846
energy,3,rule_of_law_train,MKD,North Macedonia,5.191856384277344,-0.45186578461538435
energy,3,rule_of_law_train,ARG,Argentina,5.190869331359863,-0.4509242615384613
energy,3,rule_of_law_train,PHL,Philippines,5.189969539642334,-0.42580463846153793
energy,3,rule_of_law_train,MEX,Mexico,5.18845272064209,-0.41989493076923046
energy,3,rule_of_law_train,BRA,Brazil,5.189981460571289,-0.2767305076923074
energy,3,rule_of_law_train,EGY,Egypt,5.192009925842285,-0.204750246153846
energy,3,rule_of_law_train,MAR,Morocco,5.19122314453125,-0.20444448461538436
energy,3,rule_of_law_train,BGR,Bulgaria,5.1897807121276855,-0.14534639230769222
energy,3,rule_of_law_train,SAU,Saudi Arabia,5.191232204437256,-0.12994049999999976
energy,3,rule_of_law_train,ROU,Romania,5.191855430603027,-0.05637937692307693
energy,3,rule_of_law_train,LKA,Sri Lanka,5.191739082336426,0.001038430769230842
energy,3,rule_of_law_train,HRV,Croatia,5.1888203620910645,0.00121642307692315
energy,3,rule_of_law_train,TUR,Turkey,5.189482688903809,0.01615213846153856
energy,3,rule_of_law_train,THA,Thailand,5.189266204833984,0.055406392307692474
