domain,method,stratifier,n_seeds_total,n_seeds_valid,rho_mean,rho_median,abs_rho_mean,share_seeds_p_lt_05,share_seeds_p_lt_01,fisher_combined_p
energy,CMDL,rule_of_law_train,20,20,0.0210325107389831,0.2368644014213634,0.7346915120736472,0.95,0.9,1.788747239368012e-79
energy,CMDL,government_effectiveness_train,20,20,0.0149164672842769,0.1291113949341797,0.7155277720207219,0.9,0.85,9.0340168721252e-77
energy,CMDL,log_gdp_per_capita_train,20,20,0.0114604859001642,0.1851566155363623,0.6087509482353205,0.9,0.85,1.4522589463042203e-77
energy,No AC Encoder,government_effectiveness_train,20,0,,,,,,
energy,No AC Encoder,log_gdp_per_capita_train,20,0,,,,,,
energy,No AC Encoder,rule_of_law_train,20,0,,,,,,
energy,No Recon Reg,rule_of_law_train,20,20,0.0210729766901855,0.2368644014213634,0.7347041575679614,0.95,0.9,1.788747239368012e-79
energy,No Recon Reg,government_effectiveness_train,20,20,0.0149531395048303,0.1291113949341797,0.7155543277114977,0.9,0.85,9.0340168721252e-77
energy,No Recon Reg,log_gdp_per_capita_train,20,20,0.0115363596975925,0.1851566155363623,0.6087307149998619,0.9,0.85,1.4522589463042203e-77
energy,Plain LSTM,government_effectiveness_train,20,0,,,,,,
energy,Plain LSTM,log_gdp_per_capita_train,20,0,,,,,,
energy,Plain LSTM,rule_of_law_train,20,0,,,,,,
energy,Uniform Lag,government_effectiveness_train,20,0,,,,,,
energy,Uniform Lag,log_gdp_per_capita_train,20,0,,,,,,
energy,Uniform Lag,rule_of_law_train,20,0,,,,,,
