domain,domain_label,target_column,feature_bundle,metric,reference,method,n_pairs,reference_mean,method_mean,mean_diff,median_diff,wilcoxon_statistic,wilcoxon_p,greater_is_better,reference_better_mean,paper_mean_diff_method_minus_reference,paper_median_diff_method_minus_reference,paper_diff_direction
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,GA-Net,20,0.05414579722609828,0.037702153813623775,0.0164436434124745,0.025768130965265444,56.0,0.069580078125,True,True,-0.0164436434124745,-0.025768130965265444,method_minus_reference
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,Grouped ARDL,20,0.05414579722609828,-0.08910696294806322,0.1432527601741615,0.1447294120444464,0.0,1.9073486328125e-06,True,True,-0.1432527601741615,-0.1447294120444464,method_minus_reference
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,No AC Encoder,20,0.05414579722609828,0.05182138369893837,0.002324413527159902,0.0006665702119155077,68.0,0.17685317993164062,True,True,-0.002324413527159902,-0.0006665702119155077,method_minus_reference
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,No Recon Regularization,20,0.05414579722609828,0.05525867170189134,-0.001112874475793049,0.0009470172668276967,78.0,0.3299827575683594,True,False,0.001112874475793049,-0.0009470172668276967,method_minus_reference
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,Plain LSTM,20,0.05414579722609828,0.1024200233199964,-0.04827422609389813,-0.041338316185914256,9.0,6.29425048828125e-05,True,False,0.04827422609389813,0.041338316185914256,method_minus_reference
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,TFT,20,0.05414579722609828,0.03863839915486751,0.015507398071230768,0.023957886730781267,64.0,0.13272666931152344,True,True,-0.015507398071230768,-0.023957886730781267,method_minus_reference
economics,Economics,ctfp,effective_labor_aware,test_r2,CMDL,Uniform Lag,20,0.05414579722609828,0.10396524533015572,-0.04981944810405745,-0.040965683076190855,0.0,1.9073486328125e-06,True,False,0.04981944810405745,0.040965683076190855,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,GA-Net,20,-0.028567153527486667,-0.03312825669187987,0.004561103164393198,0.005537670094126035,35.0,0.0072956085205078125,True,True,-0.004561103164393198,-0.005537670094126035,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,Grouped ARDL,20,-0.028567153527486667,0.6070779775073338,-0.6356451310348203,-0.6351514521580514,0.0,1.9073486328125e-06,True,False,0.6356451310348203,0.6351514521580514,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,No AC Encoder,20,-0.028567153527486667,-0.028401154046766686,-0.00016599948071998084,-5.4928534670817264e-05,97.0,0.7841262817382812,True,False,0.00016599948071998084,5.4928534670817264e-05,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,No Recon Regularization,20,-0.028567153527486667,-0.0285662963737612,-8.571537254625089e-07,-6.784094979117583e-07,24.0,0.0014324188232421875,True,False,8.571537254625089e-07,6.784094979117583e-07,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,Plain LSTM,20,-0.028567153527486667,-0.028771130809167506,0.0002039772816808375,0.0019509710311069357,95.0,0.7285060882568359,True,True,-0.0002039772816808375,-0.0019509710311069357,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,TFT,20,-0.028567153527486667,-0.03339665078246982,0.004829497254983153,0.004569687895368879,36.0,0.00830841064453125,True,True,-0.004829497254983153,-0.004569687895368879,method_minus_reference
energy,Energy,co2_per_unit_energy,minimal,test_r2,CMDL,Uniform Lag,20,-0.028567153527486667,-0.029856017581911698,0.0012888640544250353,-0.0001505064633493345,86.0,0.49800872802734375,True,True,-0.0012888640544250353,0.0001505064633493345,method_minus_reference
