scenario,method,metric,metric_label,sample_mean,sample_std,bootstrap_mean,ci_low,ci_high,n_seeds,n_boot
linear,CMDL,effective_kstar_mae,k* MAE,1.1590933338999747,0.22653588622791715,1.1597514022527038,1.0658660985559227,1.2553161272555589,20,2000
linear,No AC Encoder,effective_kstar_mae,k* MAE,1.9311701111793518,0.1624627428747036,1.9309417403516769,1.8674896563947199,2.003174450874329,20,2000
linear,No Recon Regularization,effective_kstar_mae,k* MAE,1.1592455894351004,0.22663885493323013,1.159912355233729,1.0658991757541894,1.2554869817897678,20,2000
linear,Plain LSTM,effective_kstar_mae,k* MAE,1.7067199896275995,0.09069997118540175,1.7068448802348821,1.6679266126193106,1.745359020255506,20,2000
linear,Uniform Lag,effective_kstar_mae,k* MAE,1.9127500000000004,0.087576658149484,1.913056875,1.8747437500000002,1.95075,20,2000
linear,CMDL,effective_kstar_spearman_rho,k* Spearman rho,0.9448963369141428,0.0781031451259748,0.9447382574702123,0.9067593433085663,0.9742300610928298,20,2000
linear,No AC Encoder,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,2000
linear,No Recon Regularization,effective_kstar_spearman_rho,k* Spearman rho,0.944675429487517,0.07848938054010005,0.9445234205623587,0.906407463140334,0.9742343677428044,20,2000
linear,Plain LSTM,effective_kstar_spearman_rho,k* Spearman rho,0.35605380903921546,0.06571361750593487,0.3558925474882474,0.32905023431933383,0.38463285188443613,20,2000
linear,Uniform Lag,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,2000
linear,CMDL,task_loss,Task loss,0.036237701494246724,0.004377236896432432,0.03620660762963816,0.034289745374117046,0.03806044971803203,20,2000
linear,No AC Encoder,task_loss,Task loss,0.06294642798602582,0.0054299397261184925,0.06295323315700516,0.06051753452513367,0.06524997117463499,20,2000
linear,No Recon Regularization,task_loss,Task loss,0.03632864458486438,0.004309957069943078,0.03629790325704962,0.034396183344069874,0.0381583316787146,20,2000
linear,Plain LSTM,task_loss,Task loss,0.06950349099934101,0.0028973097887135275,0.06952027934230864,0.06828169074840844,0.07082731689326464,20,2000
linear,Uniform Lag,task_loss,Task loss,0.06951228938996792,0.002694490929983822,0.06952316064853221,0.06831482825800776,0.0706737520545721,20,2000
nonlinear,CMDL,effective_kstar_mae,k* MAE,1.4669210850000383,0.248345299431584,1.4673565189475417,1.3694034071654082,1.5858790775701406,20,2000
nonlinear,No AC Encoder,effective_kstar_mae,k* MAE,2.435218754291534,0.2607105009169967,2.4355470579776766,2.333694789516926,2.5527488055974246,20,2000
nonlinear,No Recon Regularization,effective_kstar_mae,k* MAE,1.4668405234217645,0.24837044784141057,1.4672787853197753,1.3692703507959845,1.585673493848741,20,2000
nonlinear,Plain LSTM,effective_kstar_mae,k* MAE,2.6107988274991514,0.13768727640080128,2.6096654317558703,2.548527846685797,2.6671908982828256,20,2000
nonlinear,Uniform Lag,effective_kstar_mae,k* MAE,3.10175,0.09780855360291725,3.101274,3.057,3.1417562499999994,20,2000
nonlinear,CMDL,effective_kstar_spearman_rho,k* Spearman rho,0.906987608493093,0.21239326483153564,0.9056225475524143,0.8094287755075882,0.9584234373155124,20,2000
nonlinear,No AC Encoder,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,2000
nonlinear,No Recon Regularization,effective_kstar_spearman_rho,k* Spearman rho,0.9086750342012891,0.20480512658916214,0.9073602210397426,0.8145167650778374,0.9584244824675621,20,2000
nonlinear,Plain LSTM,effective_kstar_spearman_rho,k* Spearman rho,0.3439299149714061,0.09246690819380707,0.3439804949779578,0.30276377216715006,0.3794269342430285,20,2000
nonlinear,Uniform Lag,effective_kstar_spearman_rho,k* Spearman rho,0.0,0.0,0.0,0.0,0.0,20,2000
nonlinear,CMDL,task_loss,Task loss,0.037825090251863,0.0065334390880309534,0.03779536754041911,0.035367432073689996,0.04087271052412688,20,2000
nonlinear,No AC Encoder,task_loss,Task loss,0.06605810523033143,0.018423728031390873,0.06589545389413834,0.05763730282895267,0.07339799208100885,20,2000
nonlinear,No Recon Regularization,task_loss,Task loss,0.03784319031983614,0.006660112725146964,0.03781354026393965,0.035371750867925586,0.040946767795830966,20,2000
nonlinear,Plain LSTM,task_loss,Task loss,0.092683856934309,0.0060849111677203855,0.09266239839065821,0.09008987968787552,0.095219074068591,20,2000
nonlinear,Uniform Lag,task_loss,Task loss,0.09381731562316417,0.008113678866480543,0.09381380319427698,0.09003959428519011,0.09717166365124284,20,2000
