display_name,family,variant,scenario,task_loss_mean,task_loss_std,effective_kstar_mae_mean,effective_kstar_mae_std,effective_kstar_spearman_rho_mean,effective_kstar_spearman_rho_std,effective_lag_entropy_mean_mean,effective_lag_entropy_mean_std,effective_lag_peak_accuracy_mean,effective_lag_peak_accuracy_std,proxy_signal_r2_mean,proxy_signal_r2_std,z_signal_spearman_rho_mean,z_signal_spearman_rho_std,n_seeds,kstar_positive_seed_share
CMDL,cmdl,,linear,0.036237701494246724,0.004377236896432432,1.1590933338999747,0.22653588622791715,0.9448963369141428,0.0781031451259748,1.905189375989011,0.08507169400424831,0.34675,0.07217075876733339,0.8995846442341403,0.09044959196514679,0.9546484662116553,0.08097667099041726,20,1.0
GA-Net,ganet,,linear,0.03250041417777538,0.0068613660407425905,1.67431889924407,0.08712130880863053,0.5076607184302366,0.06466765563434544,2.2436856355568446,0.020125834406387454,0.16100000000000003,0.02648733560342416,,,,,20,1.0
No AC Encoder,ablation,no_ac_encoder,linear,0.06294642798602582,0.0054299397261184925,1.9311701111793518,0.1624627428747036,0.0,0.0,2.001044894607028,0.07139044802268696,0.139,0.030244616745881626,-1.4761382087613504e+16,4.750150887008502e+16,0.0,0.0,20,0.0
No Recon Regularization,ablation,no_recon_regularization,linear,0.03632864458486438,0.004309957069943078,1.1592455894351004,0.22663885493323013,0.944675429487517,0.07848938054010005,1.904514140529352,0.08510754855256421,0.347,0.07255487941080041,0.8993343404562438,0.09071033975621294,0.9544082352058801,0.08138328903244581,20,1.0
Plain LSTM,plain_lstm,,linear,0.06950349099934101,0.0028973097887135275,1.7067199896275995,0.09069997118540175,0.35605380903921546,0.06571361750593487,2.148185172962589,0.01923208042194411,0.12875,0.0186994933790084,,,,,20,1.0
TFT,tft,,linear,0.03191540315747261,0.0024643643336496046,1.6675323789715768,0.08725314601114853,0.4715390756414113,0.04711308177479098,2.247652656245358,0.008273871613965563,0.16649999999999998,0.02065378772449308,,,,,20,1.0
Uniform Lag,ablation,uniform_lag,linear,0.06951228938996792,0.002694490929983822,1.9127500000000004,0.087576658149484,0.0,0.0,2.302585112404075,4.556259157007654e-16,0.0,0.0,0.8483472129646815,0.15718781897956227,0.9457296182404562,0.0916678549898343,20,0.0
CMDL,cmdl,,nonlinear,0.037825090251863,0.0065334390880309534,1.4669210850000383,0.248345299431584,0.906987608493093,0.21239326483153564,1.8332949257466307,0.08275586434614618,0.4880000000000001,0.04140302556958598,0.8886551085902514,0.19871947292606518,0.945222080552014,0.20476903000195545,20,1.0
GA-Net,ganet,,nonlinear,0.04076464604586363,0.00287938729080824,2.6891545825302603,0.09074784652270503,0.47705011752065596,0.06695611629884536,2.2234291118702947,0.015469340039069848,0.27075,0.025663562127121634,,,,,20,1.0
No AC Encoder,ablation,no_ac_encoder,nonlinear,0.06605810523033143,0.018423728031390873,2.435218754291534,0.2607105009169967,0.0,0.0,1.8206575255260726,0.11391475488980694,0.27675,0.1504928307437373,-2.8503626327783844e+16,5.384773877418979e+16,0.0,0.0,20,0.0
No Recon Regularization,ablation,no_recon_regularization,nonlinear,0.03784319031983614,0.006660112725146964,1.4668405234217645,0.24837044784141057,0.9086750342012891,0.20480512658916214,1.8334089066755006,0.08269997423172581,0.48850000000000005,0.0413298668608652,0.8898296842139588,0.19343746815938792,0.9435001875046878,0.21247862353767868,20,1.0
Plain LSTM,plain_lstm,,nonlinear,0.092683856934309,0.0060849111677203855,2.6107988274991514,0.13768727640080128,0.3439299149714061,0.09246690819380707,2.089441316757005,0.028125055742316777,0.22725,0.023922847480576964,,,,,20,1.0
TFT,tft,,nonlinear,0.03560161693021655,0.004711950463905918,2.718347195982933,0.09410301831394605,0.47443777098671874,0.09510618015184616,2.2337864634316835,0.015837805034706963,0.279,0.03011381917431195,,,,,20,1.0
Uniform Lag,ablation,uniform_lag,nonlinear,0.09381731562316417,0.008113678866480543,3.10175,0.09780855360291725,0.0,0.0,2.302585112404075,4.556259157007654e-16,0.39299999999999996,0.027548999408709078,0.8270833439813087,0.22646585582443438,0.9111284782119553,0.18086750475916089,20,0.0
