scenario,metric,reference,method,n_pairs,reference_mean,method_mean,mean_diff,median_diff,wilcoxon_statistic,wilcoxon_p,greater_is_better,reference_better_mean,paper_mean_diff_method_minus_reference,paper_median_diff_method_minus_reference,paper_diff_direction
linear,effective_kstar_mae,CMDL,GA-Net,20,1.1590933338999747,1.6743188992440696,-0.5152255653440952,-0.5256798899173737,0.0,1.9073486328125e-06,False,True,0.5152255653440952,0.5256798899173737,method_minus_reference
linear,effective_kstar_mae,CMDL,No AC Encoder,20,1.1590933338999747,1.9311701111793518,-0.7720767772793768,-0.7848885428905487,0.0,1.9073486328125e-06,False,True,0.7720767772793768,0.7848885428905487,method_minus_reference
linear,effective_kstar_mae,CMDL,No Recon Regularization,20,1.1590933338999747,1.1592455894351006,-0.0001522555351257393,-1.9277334213141373e-05,86.0,0.49800872802734375,False,True,0.0001522555351257393,1.9277334213141373e-05,method_minus_reference
linear,effective_kstar_mae,CMDL,Plain LSTM,20,1.1590933338999747,1.7067199896275997,-0.5476266557276249,-0.587659994661808,0.0,1.9073486328125e-06,False,True,0.5476266557276249,0.587659994661808,method_minus_reference
linear,effective_kstar_mae,CMDL,TFT,20,1.1590933338999747,1.6675323789715766,-0.5084390450716019,-0.545043452680111,0.0,1.9073486328125e-06,False,True,0.5084390450716019,0.545043452680111,method_minus_reference
linear,effective_kstar_mae,CMDL,Uniform Lag,20,1.1590933338999747,1.9127500000000002,-0.7536566661000251,-0.7985209691524504,0.0,1.9073486328125e-06,False,True,0.7536566661000251,0.7985209691524504,method_minus_reference
nonlinear,effective_kstar_mae,CMDL,GA-Net,20,1.4669210850000383,2.68915458253026,-1.222233497530222,-1.226386697292328,0.0,1.9073486328125e-06,False,True,1.222233497530222,1.226386697292328,method_minus_reference
nonlinear,effective_kstar_mae,CMDL,No AC Encoder,20,1.4669210850000383,2.4352187542915344,-0.9682976692914963,-0.9721363252401352,0.0,1.9073486328125e-06,False,True,0.9682976692914963,0.9721363252401352,method_minus_reference
nonlinear,effective_kstar_mae,CMDL,No Recon Regularization,20,1.4669210850000383,1.4668405234217645,8.056157827377453e-05,3.2130479812653157e-05,80.0,0.36827659606933594,False,False,-8.056157827377453e-05,-3.2130479812653157e-05,method_minus_reference
nonlinear,effective_kstar_mae,CMDL,Plain LSTM,20,1.4669210850000383,2.610798827499151,-1.1438777424991131,-1.1223217278718947,0.0,1.9073486328125e-06,False,True,1.1438777424991131,1.1223217278718947,method_minus_reference
nonlinear,effective_kstar_mae,CMDL,TFT,20,1.4669210850000383,2.718347195982933,-1.2514261109828948,-1.2642906278371813,0.0,1.9073486328125e-06,False,True,1.2514261109828948,1.2642906278371813,method_minus_reference
nonlinear,effective_kstar_mae,CMDL,Uniform Lag,20,1.4669210850000383,3.1017499999999996,-1.6348289149999615,-1.6685280847549437,0.0,1.9073486328125e-06,False,True,1.6348289149999615,1.6685280847549437,method_minus_reference
