scenario,metric,reference,method,n_pairs,reference_mean,method_mean,mean_diff,median_diff,wilcoxon_statistic,wilcoxon_p,greater_is_better,reference_better_mean,paper_mean_diff_method_minus_reference,paper_median_diff_method_minus_reference,paper_diff_direction
linear,task_loss,CMDL,GA-Net,20,0.036237701494246724,0.03250041417777538,0.0037372873164713384,0.00647894199937582,59.0,0.08969497680664062,False,False,-0.0037372873164713384,-0.00647894199937582,method_minus_reference
linear,task_loss,CMDL,No AC Encoder,20,0.036237701494246724,0.06294642798602582,-0.02670872649177909,-0.026729611679911613,0.0,1.9073486328125e-06,False,True,0.02670872649177909,0.026729611679911613,method_minus_reference
linear,task_loss,CMDL,No Recon Regularization,20,0.036237701494246724,0.03632864458486438,-9.09430906176567e-05,3.166496753692627e-06,98.0,0.8123550415039062,False,True,9.09430906176567e-05,-3.166496753692627e-06,method_minus_reference
linear,task_loss,CMDL,Plain LSTM,20,0.036237701494246724,0.06950349099934101,-0.03326578950509429,-0.03377135097980499,0.0,1.9073486328125e-06,False,True,0.03326578950509429,0.03377135097980499,method_minus_reference
linear,task_loss,CMDL,TFT,20,0.036237701494246724,0.03191540315747261,0.004322298336774111,0.0032077226787805557,15.0,0.0002613067626953125,False,False,-0.004322298336774111,-0.0032077226787805557,method_minus_reference
linear,task_loss,CMDL,Uniform Lag,20,0.036237701494246724,0.06951228938996792,-0.0332745878957212,-0.033283909782767296,0.0,1.9073486328125e-06,False,True,0.0332745878957212,0.033283909782767296,method_minus_reference
nonlinear,task_loss,CMDL,GA-Net,20,0.037825090251863,0.04076464604586363,-0.0029395557940006256,-0.004404833540320396,33.0,0.005580902099609375,False,True,0.0029395557940006256,0.004404833540320396,method_minus_reference
nonlinear,task_loss,CMDL,No AC Encoder,20,0.037825090251863,0.06605810523033143,-0.028233014978468418,-0.035216061398386955,0.0,1.9073486328125e-06,False,True,0.028233014978468418,0.035216061398386955,method_minus_reference
nonlinear,task_loss,CMDL,No Recon Regularization,20,0.037825090251863,0.03784319031983614,-1.81000679731369e-05,2.389773726463318e-06,85.0,0.47490501403808594,False,True,1.81000679731369e-05,-2.389773726463318e-06,method_minus_reference
nonlinear,task_loss,CMDL,Plain LSTM,20,0.037825090251863,0.092683856934309,-0.054858766682446006,-0.05431306175887585,0.0,1.9073486328125e-06,False,True,0.054858766682446006,0.05431306175887585,method_minus_reference
nonlinear,task_loss,CMDL,TFT,20,0.037825090251863,0.03560161693021655,0.0022234733216464518,0.0007465202361345291,83.0,0.4304332733154297,False,False,-0.0022234733216464518,-0.0007465202361345291,method_minus_reference
nonlinear,task_loss,CMDL,Uniform Lag,20,0.037825090251863,0.09381731562316417,-0.05599222537130118,-0.058544088155031204,0.0,1.9073486328125e-06,False,True,0.05599222537130118,0.058544088155031204,method_minus_reference
