entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.18483327,0.80773073,-0.12766095,0.85903096,-0.34673563,0.4579619,-0.76557016
1,0.43887845,0.14064859,0.4302977,-0.15021242,0.6802017,-0.31464985,0.76667786,-0.79959667
2,0.85859793,0.2023249,0.86335367,-0.11873337,0.9604124,-0.3594376,0.2913474,-0.75209993
3,0.697368,0.17945802,0.69481033,-0.13040443,0.79081607,-0.34283227,0.4478547,-0.76970965
4,0.09417735,0.13411435,0.04807435,-0.15354745,0.2893418,-0.30990484,0.9821607,-0.8046287
5,0.97562236,0.20416303,0.9059867,-0.1177952,0.9893441,-0.3607724,0.29164544,-0.7506844
6,0.7611397,0.17795609,0.74393684,-0.131171,0.925078,-0.3417416,0.4954533,-0.7708663
7,0.7860643,0.19130963,0.8562777,-0.124355465,0.87849116,-0.3514386,0.41321796,-0.76058275
8,0.12811363,0.13235602,0.11636104,-0.15444489,0.37066072,-0.308628,0.91959053,-0.80598277
9,0.45038593,0.14324406,0.39345556,-0.14888772,0.67585874,-0.3165346,0.6967118,-0.7975979
10,0.37079802,0.14866121,0.5029654,-0.14612286,0.70746624,-0.32046843,0.6956461,-0.79342616
11,0.92676497,0.20220728,0.91167736,-0.1187934,0.8858556,-0.3593522,0.32025242,-0.75219053
12,0.6438651,0.17192537,0.66043437,-0.13424903,0.8657193,-0.33736226,0.51101756,-0.7755105
13,0.8227616,0.18778855,0.7884189,-0.1261526,0.7943294,-0.3488817,0.41552693,-0.76329434
14,0.4434142,0.14670491,0.38763747,-0.14712133,0.638098,-0.3190478,0.6435749,-0.7949327
15,0.22723871,0.1393454,0.22228993,-0.15087757,0.38441488,-0.3137035,0.76391304,-0.80060023
16,0.5545848,0.16956075,0.6663703,-0.1354559,0.6771148,-0.3356451,0.5542094,-0.7773315
17,0.063817255,0.13224629,0.16025521,-0.15450089,0.40513682,-0.3085483,0.8938207,-0.8060672
18,0.8276312,0.18010274,0.8082981,-0.13007537,0.927674,-0.34330043,0.5114148,-0.76921314
19,0.6316644,0.15991513,0.57985437,-0.14037895,0.78189605,-0.32864073,0.59864515,-0.7847596
20,0.75808775,0.1829581,0.780913,-0.12861802,0.85093415,-0.34537393,0.46231288,-0.76701427
21,0.35452595,0.13718095,0.28234392,-0.15198228,0.58291674,-0.31213173,0.7378465,-0.8022671
22,0.970698,0.20313254,0.9828869,-0.11832116,0.9560854,-0.3600241,0.34526718,-0.75147796
23,0.8931211,0.19734758,0.9462887,-0.12127375,0.9532109,-0.35582322,0.39328244,-0.7559329
24,0.7783835,0.1868789,0.7811741,-0.12661687,0.88226485,-0.34822112,0.4172498,-0.7639948
25,0.19463871,0.1294451,0.21125466,-0.1559306,0.43607122,-0.30651417,0.97364426,-0.80822444
26,0.466721,0.15573585,0.5493221,-0.14251202,0.7034268,-0.32560584,0.6332348,-0.787978
27,0.043803766,0.13546218,-0.014597836,-0.15285952,0.2718285,-0.3108836,0.9831317,-0.8035907
28,0.1542895,0.13590619,0.17949703,-0.1526329,0.30120626,-0.31120604,0.94068784,-0.80324876
