domain,aggregation,stratifier,entity_code,entity_name,k_star_mean,k_star_std,n_seeds,k_star,stratifier_value
economics,20_seed_mean,hc_mean_train,BFA,Burkina Faso,4.3083052158355715,0.7306289076171165,20,4.3083052158355715,1.067279946058989
economics,20_seed_mean,hc_mean_train,NER,Niger,4.309762001037598,0.7304358633152872,20,4.309762001037598,1.092136606574058
economics,20_seed_mean,hc_mean_train,MOZ,Mozambique,4.309851253032685,0.7407765776691959,20,4.309851253032685,1.132163166999817
economics,20_seed_mean,hc_mean_train,AGO,Angola,4.302515470981598,0.72372342649434,20,4.302515470981598,1.2269175238907342
economics,20_seed_mean,hc_mean_train,SEN,Senegal,4.313067066669464,0.718899794133564,20,4.313067066669464,1.2629136368632317
economics,20_seed_mean,hc_mean_train,SDN,Sudan,4.301528072357177,0.7204616587976657,20,4.301528072357177,1.3191396445035928
economics,20_seed_mean,hc_mean_train,RWA,Rwanda,4.313613450527191,0.7276760407018532,20,4.313613450527191,1.3418219126760957
economics,20_seed_mean,hc_mean_train,CIV,Côte d'Ivoire,4.303363275527954,0.7134285621783735,20,4.303363275527954,1.3449104763567448
economics,20_seed_mean,hc_mean_train,NGA,Nigeria,4.297966039180755,0.7980349381482166,20,4.297966039180755,1.4006401933729653
economics,20_seed_mean,hc_mean_train,TZA,U.R. of Tanzania: Mainland,4.295958137512207,0.7513922202755672,20,4.295958137512207,1.4270077161490915
economics,20_seed_mean,hc_mean_train,MAR,Morocco,4.307436096668243,0.7402884263498112,20,4.307436096668243,1.4552003033459187
economics,20_seed_mean,hc_mean_train,GTM,Guatemala,4.304891908168793,0.7390614538298222,20,4.304891908168793,1.5672464184463029
economics,20_seed_mean,hc_mean_train,IRN,Iran (Islamic Republic of),4.3204235434532166,0.7808406855320412,20,4.3204235434532166,1.6104506663978104
economics,20_seed_mean,hc_mean_train,CMR,Cameroon,4.304679596424103,0.7074961964256679,20,4.304679596424103,1.620174787938595
economics,20_seed_mean,hc_mean_train,IND,India,4.294529068470001,0.8324400013854762,20,4.294529068470001,1.6335646994411948
economics,20_seed_mean,hc_mean_train,IRQ,Iraq,4.325655663013459,0.6897690703438966,20,4.325655663013459,1.7292148135602463
economics,20_seed_mean,hc_mean_train,TUN,Tunisia,4.327158558368683,0.6829462256367864,20,4.327158558368683,1.752610117197037
economics,20_seed_mean,hc_mean_train,KEN,Kenya,4.310227608680725,0.7854304260892057,20,4.310227608680725,1.829243976622819
economics,20_seed_mean,hc_mean_train,EGY,Egypt,4.331615829467774,0.7737707498748592,20,4.331615829467774,1.835700154304504
economics,20_seed_mean,hc_mean_train,TUR,Türkiye,4.301776230335236,0.8149448565120774,20,4.301776230335236,1.892666418105364
economics,20_seed_mean,hc_mean_train,BRA,Brazil,4.313588786125183,0.8336359908745136,20,4.313588786125183,1.9339691847562788
economics,20_seed_mean,hc_mean_train,GAB,Gabon,4.349688601493836,0.7025309938550514,20,4.349688601493836,1.9460829906165604
economics,20_seed_mean,hc_mean_train,ZMB,Zambia,4.314744484424591,0.7161754626110136,20,4.314744484424591,1.9686681628227232
economics,20_seed_mean,hc_mean_train,ZWE,Zimbabwe,4.316087532043457,0.6968407007894988,20,4.316087532043457,1.9782646894454958
economics,20_seed_mean,hc_mean_train,NAM,Namibia,4.320999097824097,0.7907774501785088,20,4.320999097824097,1.9910329580307011
economics,20_seed_mean,hc_mean_train,KWT,Kuwait,4.310076105594635,0.7944225062255006,20,4.310076105594635,2.020375065505504
economics,20_seed_mean,hc_mean_train,IDN,Indonesia,4.309760272502899,0.8378449240259426,20,4.309760272502899,2.026999134570362
economics,20_seed_mean,hc_mean_train,DOM,Dominican Republic,4.309087872505188,0.7210344573614774,20,4.309087872505188,2.0515685454010955
economics,20_seed_mean,hc_mean_train,PRT,Portugal,4.302541530132293,0.7128873109896644,20,4.302541530132293,2.057556092739106
economics,20_seed_mean,hc_mean_train,COL,Colombia,4.2881072640419005,0.8099230447684888,20,4.2881072640419005,2.067479778081179
economics,20_seed_mean,hc_mean_train,VEN,Venezuela (Bolivarian Republic of),4.3053958177566525,0.7529232351369919,20,4.3053958177566525,2.073842450976373
economics,20_seed_mean,hc_mean_train,ZAF,South Africa,4.279039800167084,0.809530796192533,20,4.279039800167084,2.075275812298059
economics,20_seed_mean,hc_mean_train,PRY,Paraguay,4.297543227672577,0.7780436288775817,20,4.297543227672577,2.0989627838134766
economics,20_seed_mean,hc_mean_train,SAU,Saudi Arabia,4.309981787204743,0.7025736317773067,20,4.309981787204743,2.121687650680542
economics,20_seed_mean,hc_mean_train,THA,Thailand,4.314247250556946,0.8274405074157347,20,4.314247250556946,2.126581780612469
economics,20_seed_mean,hc_mean_train,QAT,Qatar,4.3293146848678585,0.754652766905355,20,4.3293146848678585,2.1313647367060184
economics,20_seed_mean,hc_mean_train,CHN,China,4.296430373191834,0.840489469523678,20,4.296430373191834,2.132793024182319
economics,20_seed_mean,hc_mean_train,BHR,Bahrain,4.324742829799652,0.7570134568567479,20,4.324742829799652,2.1516879238188267
economics,20_seed_mean,hc_mean_train,MUS,Mauritius,4.328583145141602,0.7463866721775404,20,4.328583145141602,2.1547611132264137
economics,20_seed_mean,hc_mean_train,BWA,Botswana,4.348569393157959,0.6677680412499463,20,4.348569393157959,2.185002952814102
economics,20_seed_mean,hc_mean_train,JOR,Jordan,4.3434013485908505,0.6659192284781718,20,4.3434013485908505,2.214470311999321
economics,20_seed_mean,hc_mean_train,MEX,Mexico,4.287068784236908,0.8321379888452316,20,4.287068784236908,2.295771423727274
